sales_date,sales_amount,order_count,customer_count,product_count,units_sold,avg_order_value
2010-12-01,58776.790000,127,95,1340,26818,462.809370
2010-12-02,47629.420000,142,99,923,31264,335.418451
2010-12-03,46898.630000,68,50,1133,16158,689.685735
2010-12-05,31364.630000,88,75,1142,16242,356.416250
2010-12-06,54624.150000,102,82,1471,21619,535.530882
2010-12-07,99553.850000,84,65,1277,25180,1185.164881
2010-12-08,45235.360000,116,99,1200,23041,389.960000
2010-12-09,53548.190000,107,90,1258,19898,500.450374
2010-12-10,59021.020000,77,53,1264,20973,766.506753
2010-12-12,17125.650000,44,42,800,10537,389.219318
2010-12-13,37942.370000,70,59,1169,17701,542.033857
2010-12-14,45167.560000,90,73,1010,20255,501.861778
2010-12-15,30384.370000,74,66,755,18453,410.599595
2010-12-16,49114.140000,121,98,922,29860,405.901983
2010-12-17,45338.130000,66,51,1368,16935,686.941364
2010-12-19,7410.470000,23,17,390,3734,322.194348
2010-12-20,26766.230000,61,41,924,14914,438.790656
2010-12-21,47279.890000,55,23,821,15605,859.634364
2010-12-22,6199.970000,17,13,193,3080,364.704118
2010-12-23,12071.910000,27,15,785,5752,447.107778
2011-01-04,16005.730000,36,34,819,8630,444.603611
2011-01-05,32630.270000,55,45,992,19769,593.277636
2011-01-06,40366.450000,50,45,998,23124,807.329000
2011-01-07,28836.590000,53,45,1031,17160,544.086604
2011-01-09,15590.680000,48,48,640,8125,324.805833
2011-01-10,24553.070000,39,32,1096,12861,629.565897
2011-01-11,68630.540000,58,47,943,28437,1183.285172
2011-01-12,24664.580000,45,42,1078,10606,548.101778
2011-01-13,20612.790000,44,41,949,10171,468.472500
2011-01-14,47554.580000,47,37,898,23139,1011.799574
2011-01-16,6976.390000,25,22,422,4086,279.055600
2011-01-17,29262.720000,51,45,1211,13375,573.778824
2011-01-18,95947.730000,41,31,892,82964,2340.188537
2011-01-19,25874.570000,35,33,951,17354,739.273429
2011-01-20,21199.340000,39,30,950,10475,543.572821
2011-01-21,32636.550000,39,32,963,15302,836.834615
2011-01-23,10306.100000,27,27,568,5200,381.707407
2011-01-24,25494.490000,53,43,846,11955,481.028113
2011-01-25,28952.550000,67,57,873,15538,432.127612
2011-01-26,19855.920000,56,49,761,10931,354.570000
2011-01-27,23624.300000,52,50,855,11266,454.313462
2011-01-28,20064.350000,40,36,584,9842,501.608750
2011-01-30,6542.610000,24,22,483,3383,272.608750
2011-01-31,23628.710000,62,50,840,13406,381.108226
2011-02-01,29013.290000,63,57,830,15814,460.528413
2011-02-02,21162.120000,63,55,795,9706,335.906667
2011-02-03,23467.730000,46,44,598,15712,510.168043
2011-02-04,25135.840000,52,41,739,12695,483.381538
2011-02-06,3439.670000,11,11,220,2036,312.697273
2011-02-07,25922.970000,42,35,803,9128,617.213571
2011-02-08,20935.230000,45,37,758,10100,465.227333
2011-02-09,16682.630000,29,22,602,7164,575.263103
2011-02-10,14853.310000,41,39,504,11876,362.275854
2011-02-11,22853.600000,45,34,621,10520,507.857778
2011-02-13,5645.480000,20,20,425,2723,282.274000
2011-02-14,26668.910000,42,36,713,13567,634.974048
2011-02-15,39841.710000,58,47,809,22669,686.926034
2011-02-16,24863.850000,63,56,698,16117,394.664286
2011-02-17,26357.520000,68,50,875,14413,387.610588
2011-02-18,16184.420000,39,34,594,9149,414.985128
2011-02-20,9437.800000,26,26,593,5218,362.992308
2011-02-21,36311.400000,38,31,811,21533,955.563158
2011-02-22,32454.500000,52,47,893,21893,624.125000
2011-02-23,26859.500000,63,49,860,13742,426.341270
2011-02-24,22800.890000,55,52,775,11891,414.561636
2011-02-25,20595.190000,49,42,592,10572,420.310000
2011-02-27,9382.710000,33,31,566,4823,284.324545
2011-02-28,21675.290000,57,49,906,9873,380.268246
2011-03-01,26344.680000,62,52,844,12137,424.914194
2011-03-02,18669.940000,43,40,543,8612,434.184651
2011-03-03,36367.140000,49,46,793,20075,742.186531
2011-03-04,19486.880000,49,38,717,13560,397.691429
2011-03-06,9959.620000,27,24,510,5027,368.874815
2011-03-07,32318.720000,68,49,1045,14006,475.275294
2011-03-08,25035.120000,48,41,883,14537,521.565000
2011-03-09,22013.200000,53,47,755,11861,415.343396
2011-03-10,26118.270000,57,46,656,15583,458.215263
2011-03-11,25473.930000,53,42,605,10521,480.640189
2011-03-13,4117.220000,16,16,416,2733,257.326250
2011-03-14,25876.630000,50,41,679,16737,517.532600
2011-03-15,23453.340000,52,40,722,8941,451.025769
2011-03-16,21842.810000,52,46,582,12883,420.054038
2011-03-17,39852.510000,62,51,1064,20975,642.782419
2011-03-18,28107.650000,64,48,765,13938,439.182031
2011-03-20,21949.680000,60,56,861,14038,365.828000
2011-03-21,16679.470000,53,47,627,10292,314.706981
2011-03-22,31468.230000,53,40,1140,16548,593.740189
2011-03-23,24078.890000,63,55,773,14374,382.204603
2011-03-24,36496.790000,68,63,781,18164,536.717500
2011-03-25,31362.560000,56,45,800,14083,560.045714
2011-03-27,9206.720000,32,31,503,4496,287.710000
