invoice_hour,sales_amount,order_count,customer_count,units_sold,avg_order_value
6,4.250000,1,1,1,4.250000
7,31059.210000,29,28,15370,1071.007241
8,283750.680000,566,427,158649,501.326290
9,990054.991000,1484,890,517985,667.152959
10,1444814.771000,2361,1268,812678,611.950348
11,1236573.290000,2396,1303,671281,516.099036
12,1439324.660000,3220,1637,836642,446.995236
13,1261195.200000,2753,1573,703750,458.116673
14,1177907.521000,2457,1386,597056,479.408840
15,1350333.310000,2336,1275,626989,578.053643
16,752487.960000,1335,749,330609,563.661393
17,460963.921000,667,414,192512,691.100331
18,144603.610000,192,141,66465,753.143802
19,50204.950000,146,98,32925,343.869521
20,18832.480000,18,15,9508,1046.248889
