sales_rank,stock_code,product_name,sales_amount,units_sold,order_count,customer_count
1,DOT,DOTCOM POSTAGE,206248.770000,706,706,1
2,22423,REGENCY CAKESTAND 3 TIER,174156.540000,13851,1988,881
3,23843,"PAPER CRAFT , LITTLE BIRDIE",168469.600000,80995,1,1
4,85123A,WHITE HANGING HEART T-LIGHT HOLDER,104462.750000,37641,2198,856
5,47566,PARTY BUNTING,99445.230000,18283,1685,708
6,85099B,JUMBO BAG RED RETROSPOT,94159.810000,48371,2089,635
7,23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.920000,78033,247,138
8,POST,POSTAGE,78101.880000,3150,1126,331
9,M,Manual,77750.270000,6984,289,197
10,23084,RABBIT NIGHT LIGHT,66870.030000,30739,994,450
